	SUBJECTN	10.0-DseqL	11.0-DseqL	12.0-DseqL	13.0-DseqL	14.0-DseqL	15.0-DseqL	16.0-DseqL	17.0-DseqL	18.0-DseqL	19.0-DseqL	20.0-DseqL	21.0-DseqL	22.0-DseqL	23.0-DseqL	24.0-DseqL	25.0-DseqL	26.0-DseqL	27.0-DseqL	28.0-DseqL	29.0-DseqL	30.0-DseqL	31.0-DseqL	32.0-DseqL	33.0-DseqL	34.0-DseqL	35.0-DseqL	36.0-DseqL	37.0-DseqL	5.0-DseqL	6.0-DseqL	7.0-DseqL	8.0-DseqL	9.0-DseqL
85	Biotech_075	0.0557117985804205	0.0569171019150931	0.0574527922860587	0.0625418508102317	0.0632114637739387	0.0534351145038168	0.0494174367215749	0.0432569974554707	0.0387036293022633	0.0381679389312977	0.0318735770724521	0.0332128029998661	0.0293290478103656	0.0199544663184679	0.0210258470603991	0.0233025311370028	0.0158028659434847	0.0107138074193116	0.007901432971742329	0.00455336815320745	0.00334806481853489	0.00214276148386233	0.000133922592741395	0.000133922592741395	0.00040176777822418597	0.000133922592741395			0.0482121333869024	0.0612026248828177	0.0527655015401098	0.0475425204231954	0.0470068300522298
68	Biotech_078	0.049345026642984	0.0540075488454707	0.0627775310834813	0.0595581705150977	0.0542295737122558	0.0572269094138544	0.0464031971580817	0.0381327708703375	0.0386323268206039	0.0349689165186501	0.0288632326820604	0.0316940497335702	0.0278641207815275	0.0238676731793961	0.0234236234458259	0.0211478685612789	0.0202042628774423	0.0130994671403197	0.0124333925399645	0.005439609236234461	0.0028308170515097698	0.0024422735346358803	0.00033303730017762	0.00022202486678508	0.00027753108348135	0.00011101243339254			0.0500666074600355	0.0629995559502664	0.0543405861456483	0.0491785079928952	0.0497335701598579
89	Biotech_079	0.0511976047904192	0.0633233532934132	0.0658682634730539	0.062125748502994	0.0580838323353293	0.0588323353293413	0.0525449101796407	0.0381736526946108	0.0365269461077844	0.0303892215568862	0.0302395209580838	0.029940119760479	0.0205089820359281	0.0238023952095808	0.0229041916167665	0.0212574850299401	0.0164670658682635	0.00958083832335329	0.0092814371257485	0.0059880239520958105	0.00419161676646707	0.00209580838323353	0.000149700598802395						0.0523952095808383	0.0616766467065868	0.0532934131736527	0.0471556886227545	0.0508982035928144
77	Biotech_080	0.04585565710683901	0.0577529152221872	0.06460762685156	0.0634257800189096	0.0589347620548377	0.0569650173337535	0.0518436810589348	0.0412858493539237	0.0400252127324299	0.034667507091081004	0.0328553419476836	0.0298613299716357	0.0242672549637567	0.0248975732745036	0.0252915222187205	0.0207217144658052	0.0164670658682635	0.0133942641033722	0.011188150015758002	0.0069335014182162	0.00338796092026473	0.0029940119760479	0.000393948944216829	0.000315159155373464	7.878978884336591e-05	7.878978884336591e-05		0.000236369366530098	0.0485345099275134	0.0586196028994642	0.049952726126694	0.0468799243618027	0.0464859754175859
55	Biotech_081	0.0469221245118893	0.0547953903298517	0.059811422584843996	0.061462268643449	0.0605098574557922	0.0570811771802279	0.0534620146671323	0.0430489856820851	0.0412076573859488	0.0345090320327629	0.0309216165592558	0.0345407790723515	0.0264135369376806	0.0289215530651767	0.0251754023937268	0.0238102796914188	0.018476777040541	0.0128892980729547	0.0121273691228293	0.00628591383853456	0.00282548652338169	0.0028889806025588103	0.0003809644750627	0.000158735197942792	0.000158735197942792	6.34940791771167e-05			0.0439061557509762	0.0562240071113369	0.0468903774723007	0.0440966379885076	0.0473665830661291
67	Biotech_083	0.0459981167608286	0.058286252354049	0.0628531073446328	0.0606873822975518	0.0578625235404896	0.0532015065913371	0.0523540489642185	0.0380885122410546	0.0398775894538606	0.0352636534839925	0.0324387947269303	0.0334274952919021	0.027683615819208997	0.0287193973634652	0.0286252354048964	0.0273540489642185	0.0215160075329567	0.0143126177024482	0.0130414312617702	0.00847457627118644	0.0039077212806026395	0.0030602636534839897	0.00032956685499058397	0.000188323917137476	9.41619585687382e-05	0.000188323917137476		9.41619585687382e-05	0.041713747645951	0.0534369114877589	0.0480696798493409	0.0454331450094162	0.0463747645951036
93	Biotech_085	0.0579958819492107	0.0583390528483185	0.0717227179135209	0.0610844200411805	0.0621139327385038	0.0583390528483185	0.057652711050103	0.032258064516129	0.0353466026080988	0.0332875772134523	0.0260809883321894	0.0336307481125601	0.0288263555250515	0.0247083047357584	0.0223061084420041	0.0264241592312972	0.0178448867536033	0.012697323266987	0.0106382978723404	0.00754975978037062	0.00205902539464653	0.0024021962937542897		0.00034317089910775603					0.0418668496911462	0.0494166094715168	0.0549073438572409	0.0418668496911462	0.0473575840768703
27	Biotech_086	0.0484368428431235	0.0594186644235712	0.0632739847656432	0.0634375438104584	0.058717697088649004	0.0578531707089116	0.0530398616757792	0.0428524697415767	0.0385064722650591	0.0344875928781719	0.0272442637506426	0.0312631431375298	0.0236225991868779	0.0241600074769849	0.0257488667694752	0.0226412449179868	0.0189962147763914	0.012477218561615	0.0123603906724613	0.00759381279499042	0.00320108416281135	0.00257021356138137	0.00030375251179961697	0.000116827889153699	0.000233655778307398	4.67311556614795e-05	2.33655778307398e-05	2.33655778307398e-05	0.0447217159680359	0.0581569232207112	0.0513108089163045	0.0448852750128511	0.046684424505818
40	Biotech_087	0.0523427726600705	0.0615546457409303	0.0665870578869555	0.0628340725577164	0.0584271579665643	0.0572330262708973	0.0487888092801092	0.0405151825315592	0.0369043557375185	0.0301091777550324	0.0281758216763334	0.0304503582395087	0.0231718412373479	0.0201580802911407	0.0196178778573866	0.0171727510519732	0.0146423291254407	0.00972364380757421	0.00901285113158194	0.00409416581371546	0.0024735585124530898	0.00173433412942113	0.000142158535198453	5.68634140793813e-05	8.5295121119072e-05	2.8431707039690697e-05			0.0521437507107927	0.0643125213237803	0.0578585238257705	0.0513192312066416	0.050096667803935
52	Biotech_089	0.0475198906016907	0.0590191447041273	0.0633702138239682	0.0648620089507708	0.0584286424664346	0.0570922426653406	0.053051964196917	0.0417391844853307	0.0404649428145201	0.0315141720537046	0.0318560417702635	0.0316695673794132	0.0262307309796121	0.0263861263053207	0.0258267031327698	0.023247140726007004	0.0188339134758826	0.0127113376429637	0.0106290402784684	0.0068063152660368	0.0035119343610144197	0.0022687717553456	0.000497265042267529	0.000155395325708603	9.32371954251616e-05	0.000124316260566882			0.0427337145698657	0.05771382396817501	0.0495089507707608	0.0455308304326206	0.0450957235206365
