"SAMPLE"	"GENE"	"SEQ_COUNT"	"SEQ_FREQ"
"Biotech_111"	"V5-51_J1*01"	7	0.000205531739972987
"Biotech_115"	"V1-18_J4*02,J5*02"	7	0.000481596147230822
"Biotech_115"	"V1-69-2_J4*02"	7	0.000481596147230822
"Biotech_115"	"V1-8_J2*01"	7	0.000481596147230822
"Biotech_115"	"V1-8_J4*02,J5*02"	7	0.000481596147230822
"Biotech_115"	"V2-70_J3*02"	7	0.000481596147230822
"Biotech_115"	"V3-49_J4*02,J5*02"	7	0.000481596147230822
"Biotech_120"	"V1-2_J2*01"	7	0.000927643784786642
"Biotech_120"	"V2-26_J6*02"	7	0.000927643784786642
"Biotech_120"	"V3-11_J2*01"	7	0.000927643784786642
"Biotech_120"	"V3-13_J2*01"	7	0.000927643784786642
"Biotech_120"	"V3-73_J3*02"	7	0.000927643784786642
"Biotech_120"	"V3-74_J3*02"	7	0.000927643784786642
"Biotech_120"	"V4-34_J1*01"	7	0.000927643784786642
"Biotech_120"	"V4-38-2_J4*02,J5*02"	7	0.000927643784786642
"Biotech_120"	"V4-61_J5*02"	7	0.000927643784786642
"Biotech_120"	"V5-51_J2*01"	7	0.000927643784786642
"Biotech_121"	"V1-46_J1*01"	7	0.000340053436968666
"Biotech_121"	"V1-58_J3*02"	7	0.000340053436968666
"Biotech_121"	"V1-58_J5*02"	7	0.000340053436968666
"Biotech_121"	"V3-15_J1*01"	7	0.000340053436968666
"Biotech_121"	"V3-30_J4*02,J5*02"	7	0.000340053436968666
"Biotech_121"	"V3-43_J6*03"	7	0.000340053436968666
"Biotech_121"	"V3-66_J2*01"	7	0.000340053436968666
"Biotech_121"	"V4-31_J4*02,J5*02"	7	0.000340053436968666
"Biotech_121"	"V5-10-1_J2*01"	7	0.000340053436968666
"Biotech_127"	"V1-18_J6*03"	7	0.00181629475869227
"Biotech_127"	"V1-8_J3*02"	7	0.00181629475869227
"Biotech_127"	"V1-8_J5*02"	7	0.00181629475869227
"Biotech_127"	"V2-5_J3*02"	7	0.00181629475869227
"Biotech_127"	"V3-11_J6*03"	7	0.00181629475869227
"Biotech_127"	"V3-15_J6*02"	7	0.00181629475869227
"Biotech_127"	"V3-33_J4*02,J5*02"	7	0.00181629475869227
"Biotech_127"	"V3-33_J6*03"	7	0.00181629475869227
"Biotech_127"	"V3-64_J3*02"	7	0.00181629475869227
"Biotech_127"	"V3-74_J3*02"	7	0.00181629475869227
"Biotech_127"	"V3-7_J6*03"	7	0.00181629475869227
"Biotech_127"	"V4-4_J5*02"	7	0.00181629475869227
"Biotech_127"	"V5-10-1_J3*02"	7	0.00181629475869227
"Biotech_129"	"V1-24_J2*01"	7	0.000225748194014448
"Biotech_129"	"V1-46_J1*01"	7	0.000225748194014448
"Biotech_129"	"V3-43_J3*02"	7	0.000225748194014448
"Biotech_129"	"V3-53_J1*01"	7	0.000225748194014448
"Biotech_129"	"V3-64_J4*02"	7	0.000225748194014448
"Biotech_129"	"V3-73_J4*02,J5*02"	7	0.000225748194014448
"Biotech_131"	"V1-46_J2*01"	7	0.000502656900761166
"Biotech_131"	"V1-46_J4*02,J5*02"	7	0.000502656900761166
"Biotech_131"	"V1-8_J1*01"	7	0.000502656900761166
"Biotech_131"	"V1-8_J4*02,J5*02"	7	0.000502656900761166
"Biotech_131"	"V3-11_J2*01"	7	0.000502656900761166
"Biotech_131"	"V3-11_J4*02,J5*02"	7	0.000502656900761166
"Biotech_131"	"V3-20_J6*03"	7	0.000502656900761166
"Biotech_131"	"V3-30-3_J4*02,J5*02"	7	0.000502656900761166
