"SUBJECTN"	"GENE"	"SEQ_COUNT"	"SEQ_FREQ"
"CD1368-Celiac#NA"	11	2485	0.0584430856067733
"Biotech_097-Celiac#FALSE"	11	2484	0.059549780643924
"CD1208-Celiac#FALSE"	16	2480	0.0527659574468085
"BC_17-Healthy#NA"	14	2479	0.0588976003801378
"Biotech_065-Celiac#M"	15	2479	0.0551342214709873
"Biotech_086-Healthy#FALSE"	15	2476	0.0578531707089116
"CD1368-Celiac#NA"	14	2475	0.0582079021636877
"HC_23_BB-Healthy#NA"	16	2475	0.047008547008547
"CD0497-Celiac#FALSE"	14	2465	0.0591212164819878
"CD1212-Celiac#M"	13	2463	0.0635448916408669
"HC_20_BB-Healthy#NA"	8	2461	0.05224609375
"BC_18-Healthy#NA"	9	2460	0.0484251968503937
"CD1086-Celiac#M"	15	2457	0.0581607290803645
"HC_35_BB-Healthy#NA"	11	2457	0.0622088312740531
"CD1169-Celiac#FALSE"	17	2452	0.0400791121136338
"BC_10-Healthy#NA"	13	2448	0.062401223553403
"Biotech_097-Celiac#FALSE"	6	2448	0.0586867403447367
"CD1125-Celiac#FALSE"	12	2446	0.0619915350888309
"CD1125-Celiac#FALSE"	13	2446	0.0619915350888309
"HC_23_BB-Healthy#NA"	7	2445	0.0464387464387464
"CD1086-Celiac#M"	11	2444	0.0578530003550716
"Biotech_108-Healthy#M"	14	2441	0.0572440317058299
"BC_10-Healthy#NA"	11	2437	0.062120825898547
"CD1368-Celiac#NA"	15	2435	0.0572671683913452
"Biotech_050-Healthy#M"	13	2434	0.0624278642694093
"HC_14_BB-Healthy#NA"	13	2430	0.0649663137632339
"CD1129-Celiac#M"	14	2428	0.060503364066783
"HC_35_BB-Healthy#NA"	12	2428	0.0614745797042738
"BC_12-Healthy#NA"	13	2426	0.0603137508390722
"BC_18-Healthy#NA"	5	2423	0.0476968503937008
"HC_11_BB-Healthy#NA"	6	2422	0.0597184209877456
"CD1211-Celiac#M"	13	2417	0.0609906886371092
"Biotech_092-Celiac#FALSE"	5	2415	0.0526614186964391
"HC_24_BB-Healthy#NA"	14	2415	0.0550590488349824
"CD1076-Celiac#M"	13	2408	0.0626333038547573
