"SAMPLE"	"GENE"	"SEQ_COUNT"	"SEQ_FREQ"	"SUBJECTn"
"HC_23_BB"	"J6*03"	5929	0.112611585944919	NA
"CD0497"	"J3*02"	5916	0.141890919556771	NA
"HC_20_BB"	"J5*02"	5911	0.12548828125	NA
"BC_12"	"J5*02"	5905	0.146806553464436	NA
"HC_30_BB"	"J4*02"	5790	0.488937679446039	NA
"Biotech_089"	"J3*02"	5788	0.179885629040278	NA
"Biotech_108"	"J3*02"	5750	0.134843581445523	NA
"HC_20_BB"	"J3*02"	5742	0.121900475543478	NA
"CD1212"	"J3*02"	5711	0.14734262125903	NA
"HC_38_BB"	"J4*02"	5698	0.432781406653501	NA
"CD1127"	"J5*02"	5683	0.146382299152564	NA
"Biotech_065"	"J6*02"	5674	0.12619264728777	NA
"CD0838"	"J4*02"	5672	0.482559128807215	NA
"BC_11"	"J5*02"	5599	0.10779123269738	NA
"BC_16"	"J5*02"	5590	0.108247322863616	NA
"Biotech_086"	"J5*02"	5542	0.12949203233796	NA
"Biotech_067"	"J3*02"	5531	0.15269304033349	NA
"CD1071"	"J5*02"	5507	0.132772379873183	NA
"CD1086"	"J6*02"	5480	0.129719493431175	NA
"Biotech_086"	"J3*02"	5467	0.127739614000654	NA
"Biotech_108"	"J6*03"	5453	0.127878617325641	NA
"Biotech_087"	"J3*02"	5452	0.155009666780393	NA
"Biotech_110"	"J6*02"	5449	0.215990169652767	NA
"Biotech_083"	"J6*02"	5435	0.255885122410546	NA
"CD1208"	"J5*02"	5435	0.11563829787234	NA
"HC_23_BB"	"J6*02"	5432	0.103171889838557	NA
"HC_09_BB"	"J6*02"	5420	0.20041413992013	NA
"HC_11_BB"	"J3*02"	5420	0.133639075868531	NA
"BC_17"	"J5*02"	5410	0.128534093608933	NA
"HC_21_BB"	"J6*03"	5397	0.089948500858319	NA
"HC_24_BB"	"J6*03"	5382	0.122703023117961	NA
"HC_11_BB"	"J6*02"	5375	0.132529526345637	NA
"BC_18"	"J3*02"	5299	0.104311023622047	NA
"Biotech_086"	"J6*02"	5283	0.123440347679798	NA
"Biotech_090"	"J6*02"	5241	0.152208637063282	NA
"Biotech_065"	"J5*02"	5214	0.115962013210862	NA
"CD1076"	"J5*02"	5163	0.134292254070645	NA
"HC_35_BB"	"J5*02"	5158	0.130595503342111	NA
"CD1202"	"J5*02"	5151	0.108062181383347	NA
"CD1086"	"J5*02"	5144	0.121765889454373	NA
"CD1368"	"J3*02"	5128	0.120602069614299	NA
"Biotech_097"	"J5*02"	5108	0.122455829118021	NA
"CD1362_HC"	"J5*02"	5097	0.115418582006748	NA
"BC_10"	"J5*02"	5060	0.12898292123375	NA
"Biotech_050"	"J5*02"	5019	0.12872861576342	NA
"Biotech_100"	"J6*03"	4992	0.167252990250276	NA
"Biotech_106"	"J4*02"	4943	0.493116520351157	NA
"Biotech_050"	"J3*02"	4942	0.126753699761471	NA
"CD1125"	"J3*02"	4905	0.124312542768077	NA
"HC_24_BB"	"J3*02"	4897	0.111645615794993	NA
"Biotech_103"	"J4*02"	4896	0.545090180360721	NA
"Biotech_100"	"J3*02"	4895	0.16400308238684	NA
"HC_13_BB"	"J6*02"	4885	0.242035376306793	NA
"CD1129"	"J3*02"	4873	0.121430351358086	NA
"CD1125"	"J5*02"	4843	0.122741211952252	NA
"HC_16_BB"	"J3*02"	4841	0.13190376284025	NA
"Biotech_111"	"J3*02"	4821	0.14155264548711	NA
