	SUBJECTN	J1*01	J2*01	J3*02	J4*02	J5*02	J6*02	J6*03	J6*04
38	Biotech_087	0.0137609462072103	0.025275787558285	0.15500966678039302	0.51842374616172	0.117394518366883	0.102553167292164	0.0675821676333447	
35	Biotech_089	0.0154462953754351	0.0307993535554451	0.17988562904027802	0.49204375932371996	0.104860765788165	0.111480606663352	0.0654835902536052	
39	Biotech_090	0.013533528882177	0.0264862196149043	0.138994569163303	0.572415996282636	0.0963610489936979	0.15220863706328197		
76	Biotech_091	0.0135565597451663	0.0297059041410475	0.11452700200014802	0.47529446625676	0.130898585080376	0.236017482776502		
43	Biotech_092	0.00979088074314747	0.017815477877843003	0.10250986720163999	0.416624871889923	0.16260712182995699	0.19176170435465198	0.09889007610283698	
90	Biotech_093	0.0140025850926325	0.026281775096941004	0.11826798793623401	0.48836708315381294	0.11503662214562699	0.238043946574752		
55	Biotech_094	0.0125853311333269	0.0228412436507166	0.125012132388625	0.52690154971044	0.12261800770002301	0.103950305736193	0.0860914296806755	
51	Biotech_096	0.0134153347075322	0.022133612678674	0.11343898895009	0.529044030682932	0.113979657351401	0.20798837562937197		
34	Biotech_097	0.0121544842135545	0.0264186224917891	0.110181478196246	0.506101215448421	0.122455829118021	0.22268837053196802		
97	Biotech_099	0.00869943453675511	0.0278381905176164	0.127011744236625	0.5123966942148761	0.12048716833405802	0.122227055241409	0.0813397129186603	
52	Biotech_100	0.0132341608871913	0.0243575568733876	0.16400308238684	0.496398297986397	0.134753911615908		0.16725299025027598	
86	Biotech_101	0.0152186761229314	0.030289598108747002	0.12559101654846302	0.539302600472813	0.105644208037825	0.18395390070922		
82	Biotech_103	0.014918726341571998	0.0254954353150746	0.113449120463149	0.545090180360721	0.106212424849699	0.19483411266978398		
77	Biotech_105	0.0111361285218767	0.0247063834966227	0.102902695795047	0.47690622527840293	0.118359398770766	0.265989168137285		
85	Biotech_106	0.0118715083798883	0.0305267358339984	0.13547486033519598	0.49311652035115705	0.115223463687151	0.142757382282522	0.0710295291300878	
16	Biotech_107	0.0157199697317353	0.035882539605047996	0.15095076525007903	0.532257670808212	0.0983718602777846	0.0910000732296727	0.0758171210974687	
37	Biotech_108	0.0115379203602082	0.0186435908259463	0.13484358144552303	0.47790910370057704	0.14720228882322597	0.0819848975188781	0.127878617325641	
54	Biotech_110	0.0154590137941969	0.0292928492151578	0.11689392738227401	0.5039242111939121	0.11843982876169301	0.215990169652767		
40	Biotech_111	0.0135650948382172	0.0241352986082565	0.14155264548710997	0.498120852663104	0.12246755534676101	0.12111691819836698	0.0790416348581831	
70	Biotech_115	0.0162366701066391	0.0280701754385965	0.12425180598555198	0.496800825593395	0.110216718266254	0.22442380460956302		
88	Biotech_120	0.0133845746090644	0.0291545189504373	0.12536443148688	0.50556586270872	0.11555791147627902	0.210972700768619		
72	Biotech_121	0.011221763419966002	0.0271556958950692	0.128540199174156	0.47092543113917895	0.118727228564489	0.15346125819771697	0.0899684236094243	
92	Biotech_127	0.0147898287493513	0.030098598858329	0.135443694862481	0.531655422937208	0.116761805915931	0.10560456668396499	0.0656460819927348	
26	Biotech_129	0.017156862745098	0.0324754901960784	0.127225232198142	0.5026122291021671	0.114938080495356	0.20559210526315802		
66	Biotech_131	0.0194600028723251	0.0359040643400833	0.17427832830676399	0.534037052994399	0.122002010627603	0.0625448800804251	0.0517736607784001	
91	Biotech_132	0.00788875518117395	0.0180505415162455	0.0956010161786335	0.49431742211525603	0.11886615857735	0.265276106431341		
4	CD0497	0.0202906893078141	0.0349930445627668	0.141890919556771	0.557370365040533	0.0936105914520075	0.151844390080107		
79	CD0838	0.0147183937383019	0.0283307810107198	0.173217628041518	0.482559128807215	0.116981453122341	0.0772502977709716	0.10694231750893302	
21	CD0844	0.0112476406918069	0.0203959785832595	0.0833943222526097	0.47898771233773707	0.14200146373406303	0.26397288240052397		
29	CD1071	0.012657617474745	0.0273404537454493	0.11179689948646199	0.481857414952865	0.13277237987318302	0.233575234467295		
45	CD1076	0.0109764344795297	0.0296519793996775	0.10687717838006598	0.47604432190605	0.13429225407064502	0.24215783176403302		
44	CD1081	0.0141131679138769	0.0272088748851254	0.126165156885913	0.47768150190363706	0.12373637915189699	0.148483654982276	0.0826112642772745	
19	CD1086	0.0142028642442893	0.0330690022487868	0.108036454018227	0.509101668836549	0.12176588945437301	0.129719493431175	0.0841046277665996	
73	CD1096	0.0245158401432889	0.0427627896563305	0.193104220306728	0.531512369864547	0.0810478002910556	0.0699652972125826	0.0570916825254674	
13	CD1110	0.0123781553485523	0.0240896560422335	0.11325922055458501	0.469739283976865	0.136231779607575	0.24430190447018998		
11	CD1113	0.0117579345502384	0.0282683769116922	0.11881269528038198	0.515030422627857	0.12141095214602901	0.20471961848380202		
94	CD1114	0.0175015087507544	0.03983101991551	0.145443572721786	0.51961375980688	0.106216053108027	0.0832830416415208	0.08811104405552199	
30	CD1115	0.0153651800928374	0.0350196838827193	0.135730653974969	0.467830072272166	0.12013044244667699	0.22592396733063		
