"SAMPLE"	"GENE"	"SEQ_COUNT"	"SEQ_FREQ"	"SUBJECTn"
"128"	"CD1129"	"2-rFrame"	10576	0.270568972574703	NA
"129"	"HC_35_BB"	"0-rFrame"	10538	0.274127256646376	NA
"130"	"Biotech_050"	"0-rFrame"	10523	0.278172830368236	NA
"131"	"Biotech_092"	"2-rFrame"	10392	0.235480727833043	NA
"132"	"CD1211"	"2-rFrame"	10387	0.271903876861862	NA
"133"	"CD1212"	"0-rFrame"	10378	0.272431354019006	NA
"134"	"Biotech_097"	"2-rFrame"	10346	0.254164005306343	NA
"135"	"Biotech_067"	"0-rFrame"	10324	0.291366804955832	NA
"136"	"HC_14_BB"	"2-rFrame"	10195	0.279406928305196	NA
"137"	"CD1071"	"2-rFrame"	10183	0.251686892903927	NA
"138"	"Biotech_087"	"0-rFrame"	10089	0.296438855262385	NA
"139"	"Biotech_108"	"2-rFrame"	9964	0.240165831083687	NA
"140"	"CD1268"	"1-rFrame"	9937	0.46813021152306	NA
"141"	"CD1125"	"2-rFrame"	9926	0.25900895023876	NA
"142"	"CD1212"	"2-rFrame"	9890	0.259620937680475	NA
"143"	"HC_11_BB"	"2-rFrame"	9879	0.249841936218103	NA
"144"	"Biotech_111"	"0-rFrame"	9869	0.296856670175966	NA
"145"	"Biotech_050"	"2-rFrame"	9863	0.26072589812049	NA
"146"	"HC_14_BB"	"0-rFrame"	9856	0.270116202587152	NA
"147"	"HC_35_BB"	"2-rFrame"	9831	0.255735913844233	NA
"148"	"BC_10"	"2-rFrame"	9830	0.257343316404	NA
"149"	"Biotech_064"	"0-rFrame"	9732	0.289780848022868	NA
"150"	"CD1127"	"2-rFrame"	9680	0.256607374811123	NA
"151"	"Biotech_083"	"1-rFrame"	9635	0.466224716926352	NA
"152"	"Biotech_045"	"0-rFrame"	9616	0.29109402433856	NA
"153"	"CD1076"	"2-rFrame"	9601	0.256526037352713	NA
"154"	"Biotech_090"	"0-rFrame"	9462	0.282052046382687	NA
"155"	"CD1115"	"0-rFrame"	9439	0.28400782307808	NA
"156"	"CD1120"	"0-rFrame"	9346	0.29104384653712	NA
"157"	"BC_12"	"2-rFrame"	9340	0.23820453965825	NA
"158"	"HC_13_BB"	"1-rFrame"	9283	0.469835003542869	NA
"159"	"HC_12_BB"	"1-rFrame"	9057	0.459536252473489	NA
"160"	"Biotech_121"	"1-rFrame"	9055	0.45072175211548	NA
"161"	"HC_16_BB"	"2-rFrame"	9046	0.252237682290941	NA
"162"	"Biotech_067"	"2-rFrame"	8959	0.252843394575678	NA
"163"	"Biotech_129"	"0-rFrame"	8947	0.294842642939529	NA
"164"	"HC_22_BB"	"2-rFrame"	8944	0.277893428615815	NA
"165"	"Biotech_089"	"0-rFrame"	8927	0.283766171842716	NA
"166"	"Biotech_090"	"2-rFrame"	8876	0.264584016454527	NA
"167"	"Biotech_087"	"2-rFrame"	8840	0.25974025974026	NA
"168"	"Biotech_094"	"0-rFrame"	8819	0.292329620790241	NA
"169"	"Biotech_081"	"0-rFrame"	8714	0.283511192087454	NA
"170"	"HC_31_BB"	"0-rFrame"	8631	0.282548204406325	NA
"171"	"HC_22_BB"	"0-rFrame"	8597	0.267112008699705	NA
"172"	"Biotech_100"	"0-rFrame"	8535	0.292314542091924	NA
"173"	"CD1120"	"2-rFrame"	8423	0.262300697558545	NA
"174"	"Biotech_045"	"2-rFrame"	8337	0.25237633952897	NA
"175"	"Biotech_096"	"0-rFrame"	8304	0.286117906487958	NA
"176"	"CD1081"	"0-rFrame"	8140	0.272377446879706	NA
"177"	"Biotech_078"	"1-rFrame"	8137	0.463488266119845	NA
"178"	"Biotech_111"	"2-rFrame"	8126	0.244427733493758	NA
"179"	"Biotech_064"	"2-rFrame"	7981	0.237642925202477	NA
"180"	"CD1363_HC"	"0-rFrame"	7964	0.290233236151604	NA
"181"	"Biotech_081"	"2-rFrame"	7916	0.257548152004164	NA
"182"	"Biotech_089"	"2-rFrame"	7898	0.251056931243841	NA
"183"	"CD1115"	"2-rFrame"	7896	0.237580863547465	NA
"184"	"Biotech_100"	"2-rFrame"	7878	0.269813000890472	NA
"185"	"CD1081"	"2-rFrame"	7872	0.263409737326418	NA
"186"	"CD1149"	"1-rFrame"	7622	0.471862811861574	NA
"187"	"Biotech_129"	"2-rFrame"	7562	0.249200856813314	NA
"188"	"Biotech_094"	"2-rFrame"	7542	0.25	NA
"189"	"Biotech_105"	"1-rFrame"	7505	0.467542985297782	NA
"190"	"HC_31_BB"	"2-rFrame"	7355	0.240776508331424	NA
"191"	"HC_32_BB"	"1-rFrame"	7328	0.487234042553191	NA
"192"	"HC_36_BB"	"0-rFrame"	7178	0.283468920306453	NA
"193"	"HC_33_BB"	"1-rFrame"	7135	0.467807500655652	NA
"194"	"HC_09_BB"	"0-rFrame"	7103	0.268149042998981	NA
"195"	"CD1363_HC"	"2-rFrame"	7100	0.258746355685131	NA
"196"	"Biotech_096"	"2-rFrame"	7082	0.244013368707577	NA
"197"	"HC_09_BB"	"2-rFrame"	6977	0.26339235154215	NA
"198"	"HC_15_BB"	"0-rFrame"	6926	0.28889630432969	NA
"199"	"Biotech_110"	"0-rFrame"	6897	0.281682662854809	NA
"200"	"Biotech_115"	"1-rFrame"	6865	0.484919121282758	NA
"201"	"HC_36_BB"	"2-rFrame"	6706	0.264829002448464	NA
"202"	"Biotech_110"	"2-rFrame"	6302	0.257382070655503	NA
"203"	"CD1268"	"0-rFrame"	6147	0.289584020351439	NA
"204"	"HC_15_BB"	"2-rFrame"	6141	0.256152498540085	NA
"205"	"Biotech_091"	"1-rFrame"	6061	0.46045734255109	NA
"206"	"HC_38_BB"	"1-rFrame"	6043	0.469724057520404	NA
"207"	"Biotech_121"	"0-rFrame"	6042	0.300746640119462	NA
"208"	"Biotech_131"	"1-rFrame"	5997	0.442354503208674	NA
"209"	"Biotech_083"	"0-rFrame"	5881	0.284573695925675	NA
"210"	"Biotech_080"	"1-rFrame"	5792	0.466983794243328	NA
"211"	"HC_12_BB"	"0-rFrame"	5701	0.289258714292963	NA
"212"	"HC_13_BB"	"0-rFrame"	5520	0.279380504099605	NA
